N,Naive,NextFit,WorstFit,BestFit,FirstFit
4800,2396902380.00,691002380.00,21702380.00,21002380.00,21002380.00,0.0003,0.0011,0.0560,0.0576,0.0035
4900,2453936457.30,710836457.30,16336457.30,16036457.30,16236457.30,0.0004,0.0011,0.0588,0.0621,0.0035
5000,2504742244.20,723442244.20,18442244.20,17842244.20,17942244.20,0.0004,0.0011,0.0611,0.0621,0.0034
5100,2538999784.60,743899784.60,24299784.60,23899784.60,24099784.60,0.0004,0.0011,0.0637,0.0647,0.0036
5200,2598262592.30,752962592.30,17062592.30,16262592.30,16562592.30,0.0004,0.0012,0.0653,0.0705,0.0036
5300,2654717889.80,769817889.80,21917889.80,20517889.80,21017889.80,0.0004,0.0012,0.0689,0.0731,0.0038
5400,2705892814.80,782492814.80,19892814.80,18492814.80,18992814.80,0.0004,0.0012,0.0713,0.0730,0.0038
5500,2755124360.00,801724360.00,22024360.00,20924360.00,21024360.00,0.0004,0.0012,0.0725,0.0753,0.0038
5600,2808182319.80,811482319.80,24182319.80,23182319.80,23182319.80,0.0004,0.0013,0.0771,0.0801,0.0040
5700,2860509945.10,819709945.10,15509945.10,15109945.10,15309945.10,0.0004,0.0013,0.0794,0.0847,0.0041
5800,2897335883.40,842535883.40,24635883.40,24235883.40,24235883.40,0.0005,0.0014,0.0832,0.0883,0.0041
5900,2953421482.00,853621482.00,22821482.00,21921482.00,22021482.00,0.0005,0.0014,0.0868,0.0934,0.0044
6000,3008107574.70,867707574.70,20107574.70,19207574.70,19307574.70,0.0004,0.0014,0.0892,0.0896,0.0044
6100,3064649043.20,879449043.20,17949043.20,17049043.20,17149043.20,0.0004,0.0014,0.0904,0.0975,0.0044
6200,3115764430.50,897064430.50,18464430.50,17564430.50,17764430.50,0.0005,0.0014,0.0939,0.1006,0.0045
6300,3141391505.60,918291505.60,23891505.60,23191505.60,23291505.60,0.0005,0.0014,0.0964,0.0972,0.0044
6400,3197715728.20,931815728.20,25315728.20,24815728.20,24815728.20,0.0005,0.0015,0.1002,0.1107,0.0047
6500,3255356618.30,939656618.30,21256618.30,20456618.30,20856618.30,0.0005,0.0015,0.1030,0.1140,0.0047
6600,3296112116.70,959812116.70,23712116.70,23112116.70,23212116.70,0.0005,0.0016,0.1089,0.1194,0.0050
6700,3347198134.40,974698134.40,22598134.40,22198134.40,22398134.40,0.0005,0.0016,0.1106,0.1189,0.0049
6800,3399032832.30,988132832.30,24332832.30,23432832.30,23832832.30,0.0005,0.0016,0.1128,0.1262,0.0050
6900,3445824122.00,1000524122.00,28224122.00,27924122.00,27924122.00,0.0005,0.0016,0.1157,0.1243,0.0050
7000,3495846080.80,1017046080.80,30646080.80,29346080.80,29746080.80,0.0005,0.0017,0.1205,0.1269,0.0053
7100,3557917629.40,1024717629.40,17317629.40,16417629.40,16717629.40,0.0005,0.0017,0.1247,0.1344,0.0053
7200,3607300353.80,1043000353.80,18600353.80,17800353.80,17900353.80,0.0006,0.0018,0.1318,0.1489,0.0055
7300,3648345507.20,1062845507.20,22945507.20,22545507.20,22845507.20,0.0006,0.0017,0.1311,0.1443,0.0054
7400,3690233906.80,1080733906.80,27933906.80,27333906.80,27533906.80,0.0006,0.0018,0.1380,0.1470,0.0056
7500,3751164463.50,1085264463.50,22364463.50,21564463.50,21564463.50,0.0006,0.0018,0.1394,0.1463,0.0056
7600,3791422626.40,1100622626.40,27822626.40,26722626.40,27322626.40,0.0006,0.0018,0.1422,0.1553,0.0057
7700,3852367543.90,1119267543.90,25867543.90,25067543.90,25367543.90,0.0006,0.0019,0.1456,0.1628,0.0058
7800,3910596682.40,1124896682.40,23696682.40,23096682.40,23596682.40,0.0006,0.0019,0.1524,0.1677,0.0060
7900,3947104253.20,1148604253.20,24304253.20,24104253.20,24304253.20,0.0006,0.0019,0.1557,0.1718,0.0059
8000,4003494772.50,1160194772.50,25394772.50,24194772.50,24494772.50,0.0006,0.0019,0.1582,0.1758,0.0059
8100,4049750422.80,1178350422.80,26550422.80,25750422.80,26250422.80,0.0007,0.0019,0.1622,0.1782,0.0061
8200,4098779761.10,1189779761.10,25579761.10,24579761.10,25279761.10,0.0007,0.0020,0.1652,0.1701,0.0060
8300,4152944153.60,1199144153.60,22844153.60,22144153.60,22344153.60,0.0007,0.0022,0.1755,0.1837,0.0064
8400,4192810257.70,1214610257.70,27810257.70,27710257.70,27710257.70,0.0007,0.0020,0.1737,0.1855,0.0062
8500,4252979242.70,1234579242.70,24679242.70,24079242.70,24279242.70,0.0008,0.0021,0.1797,0.2093,0.0064
8600,4303985831.10,1242685831.10,28685831.10,28285831.10,28485831.10,0.0009,0.0022,0.1874,0.2071,0.0066
8700,4360035543.00,1257635543.00,26935543.00,25635543.00,26035543.00,0.0009,0.0023,0.2157,0.2227,0.0074
8800,4390826388.20,1280626388.20,37626388.20,37226388.20,37326388.20,0.0009,0.0029,0.2368,0.2702,0.0090
8900,4441356230.90,1296756230.90,36056230.90,35656230.90,35656230.90,0.0010,0.0028,0.2436,0.2557,0.0078
9000,4500700727.10,1306900727.10,28300727.10,27400727.10,27800727.10,0.0009,0.0026,0.2398,0.2410,0.0079
9100,4557694917.80,1321694917.80,23694917.80,22594917.80,22994917.80,0.0009,0.0023,0.2356,0.2404,0.0075
9200,4612654227.70,1325254227.70,20654227.70,20254227.70,20454227.70,0.0009,0.0025,0.2146,0.2397,0.0071
9300,4650258601.10,1357958601.10,37758601.10,37358601.10,37458601.10,0.0008,0.0024,0.2179,0.2485,0.0072
9400,4703865286.20,1359865286.20,22365286.20,21265286.20,21465286.20,0.0008,0.0025,0.2273,0.2653,0.0078
9500,4754362310.30,1370562310.30,25162310.30,24462310.30,24562310.30,0.0008,0.0024,0.2298,0.2568,0.0078
9600,4795286437.90,1387486437.90,25686437.90,24886437.90,25386437.90,0.0009,0.0025,0.2365,0.2621,0.0084
9700,4843119254.90,1410519254.90,34219254.90,33319254.90,33719254.90,0.0009,0.0026,0.2402,0.2737,0.0076
9800,4908004192.10,1409104192.10,19504192.10,18304192.10,18504192.10,0.0009,0.0026,0.2438,0.2880,0.0078
9900,4955844122.70,1437644122.70,34044122.70,30944122.70,31944122.70,0.0009,0.0026,0.2466,0.2837,0.0077
10000,5019581604.40,1444581604.40,26181604.40,24081604.40,24781604.40,0.0010,0.0027,0.2672,0.2955,0.0083
